https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USDP,tradecount
1653004800000,2022-05-20,BTCUSDP,30235.05,30634.61,28735.62,29284.83,7.62549,224413.6956148,304
1652918400000,2022-05-19,BTCUSDP,28768.63,30455.22,28680.09,30371.76,9.39934,281832.695328,279
1652832000000,2022-05-18,BTCUSDP,30499.59,30579.43,28755.78,28755.78,10.39261,305708.2650804,238
1652745600000,2022-05-17,BTCUSDP,29920.45,30684.41,29583.98,30402.39,6.41967,193866.1100988,253
1652659200000,2022-05-16,BTCUSDP,31010.78,31147.93,29199.74,29794.31,13.24773,395009.9099538,509
1652572800000,2022-05-15,BTCUSDP,29978.73,31403.93,29516.09,31333.83,2.41771,73353.4139504,159
1652486400000,2022-05-14,BTCUSDP,29360.45,30246.06,28624.53,30020.8,2.08964,61527.4299194,287
1652400000000,2022-05-13,BTCUSDP,28807.68,30942.74,28807.68,29248.38,6.04004,181689.3623501,618
1652313600000,2022-05-12,BTCUSDP,28879.34,30070.65,25000.28,28926.29,81.02951,2199804.3218597,2290
1652227200000,2022-05-11,BTCUSDP,30960.22,32167.48,27730.48,28837.12,22.93209,685407.4164311,634
1652140800000,2022-05-10,BTCUSDP,30112.01,32594.15,29708.15,31094.93,20.91624,649879.7806576,464
1652054400000,2022-05-09,BTCUSDP,34099.41,34099.41,30002.04,30002.04,41.87684,1338581.4437514,1069
1651968000000,2022-05-08,BTCUSDP,35211.48,35211.48,33775.48,34028.29,28.76946,990989.0052906,445
1651881600000,2022-05-07,BTCUSDP,35987.77,36081.74,34773.56,35642.83,4.07517,145740.0703803,156
1651795200000,2022-05-06,BTCUSDP,36604.96,47911.95,35225.17,36028.17,11.40008,415833.905324,450
1651708800000,2022-05-05,BTCUSDP,39659.97,39839.66,35574.37,36574.84,18.60081,697026.2911428,589
1651622400000,2022-05-04,BTCUSDP,37717.58,39923.8,37717.58,39633.27,7.722,301750.9244238,207
1651536000000,2022-05-03,BTCUSDP,38465.76,38599.99,37599.74,37717.58,8.65845,328675.5349201,128
1651449600000,2022-05-02,BTCUSDP,38635.04,39154.34,38083.69,38796.73,11.98302,463220.8080986,174
1651363200000,2022-05-01,BTCUSDP,37703.51,38642.66,37440.0,38454.51,6.34426,243141.4127396,202
1651276800000,2022-04-30,BTCUSDP,38610.71,38781.24,37536.24,37746.93,1.48063,56578.0706184,87
1651190400000,2022-04-29,BTCUSDP,39816.69,39816.69,38115.75,38570.07,2.4388,94944.9640815,103
1651104000000,2022-04-28,BTCUSDP,39140.62,40332.72,38944.22,39696.31,10.53771,416796.7190705,217
1651017600000,2022-04-27,BTCUSDP,38132.36,39515.23,38093.86,39045.54,9.98806,386902.0418727,195
1650931200000,2022-04-26,BTCUSDP,40553.54,40783.1,37744.0,37989.51,10.4759,406620.6918955,339
1650844800000,2022-04-25,BTCUSDP,39073.79,40544.46,38264.42,40431.95,8.11762,318757.861078,350
1650758400000,2022-04-24,BTCUSDP,39490.95,39879.47,39026.78,39485.66,2.97108,117395.1052292,113
1650672000000,2022-04-23,BTCUSDP,39814.35,39900.35,39408.1,39571.03,2.75322,109066.2282318,66
1650585600000,2022-04-22,BTCUSDP,40331.04,40744.04,39172.92,39771.76,4.7599,190428.1890505,178
1650499200000,2022-04-21,BTCUSDP,41600.28,42916.78,39797.35,40577.8,6.98827,290946.4798086,259
1650412800000,2022-04-20,BTCUSDP,41379.61,42180.39,40908.0,41357.74,10.6247,441099.0578137,466
1650326400000,2022-04-19,BTCUSDP,40885.87,41783.54,40566.89,41539.42,9.91411,409219.6674699,578
1650240000000,2022-04-18,BTCUSDP,39678.78,41078.23,38679.19,40855.06,13.04485,518733.2890777,428
1650153600000,2022-04-17,BTCUSDP,40352.68,40573.71,39558.14,39713.79,5.98846,241559.7686528,153
1650067200000,2022-04-16,BTCUSDP,40504.75,40618.02,40031.17,40508.99,2.87302,116038.5796363,121
1649980800000,2022-04-15,BTCUSDP,39977.62,40801.81,39875.76,40520.94,8.41783,338847.1103617,233
1649894400000,2022-04-14,BTCUSDP,41224.71,41464.42,39673.21,39932.79,4.25353,170956.7935338,148
1649808000000,2022-04-13,BTCUSDP,40112.49,41523.46,39613.69,41101.62,6.42573,260931.7187634,426
1649721600000,2022-04-12,BTCUSDP,39585.34,40660.43,39274.67,40111.54,14.72869,588863.8945303,580
1649635200000,2022-04-11,BTCUSDP,42166.23,42419.13,39210.67,39523.9,14.25516,584137.9247797,578
1649548800000,2022-04-10,BTCUSDP,42702.39,43365.93,41973.16,42158.24,4.30617,183593.3217172,267
1649462400000,2022-04-09,BTCUSDP,42312.72,42755.45,42130.43,42704.07,4.81685,204125.4839279,245
1649376000000,2022-04-08,BTCUSDP,43335.1,43934.0,42152.06,42268.97,3.8035,163669.1232362,315
1649289600000,2022-04-07,BTCUSDP,43130.48,43893.99,42787.79,43591.36,5.47298,237487.9729095,308
1649203200000,2022-04-06,BTCUSDP,45426.95,45552.35,43223.17,43320.77,11.11978,496937.274063,669
1649116800000,2022-04-05,BTCUSDP,46520.14,47168.12,45484.19,45542.53,24.86911,1141188.5953058,594
1649030400000,2022-04-04,BTCUSDP,46271.79,46801.62,45188.93,46620.7,9.29965,429632.760653,565
1648944000000,2022-04-03,BTCUSDP,45840.94,47441.53,45597.62,46288.76,4.35219,202978.8383319,610
1648857600000,2022-04-02,BTCUSDP,46155.64,47168.12,45669.36,45845.7,4.40406,204163.5594331,721
1648771200000,2022-04-01,BTCUSDP,45621.24,46757.91,44308.68,46385.17,9.54065,430381.3889545,716
1648684800000,2022-03-31,BTCUSDP,46998.46,47566.59,45211.8,45526.24,7.0354,327981.4950003,720
1648598400000,2022-03-30,BTCUSDP,47428.81,47730.58,46550.43,47057.72,3.90058,183918.9465814,619
1648512000000,2022-03-29,BTCUSDP,47151.73,48078.74,46863.61,47531.26,6.59785,313917.1904204,937
1648425600000,2022-03-28,BTCUSDP,46807.62,48135.09,46649.31,47044.56,15.64438,743852.0920324,1454
1648339200000,2022-03-27,BTCUSDP,44543.74,46929.32,44414.38,46801.92,7.85821,357302.3278816,626
1648252800000,2022-03-26,BTCUSDP,44394.42,44739.51,44134.67,44513.9,0.81036,35951.3834236,183
1648166400000,2022-03-25,BTCUSDP,43886.09,45096.37,43598.24,44334.05,5.44089,240732.7968777,442
1648080000000,2022-03-24,BTCUSDP,42846.8,44233.82,42648.68,43980.44,7.55605,327084.712658,467
1647993600000,2022-03-23,BTCUSDP,42357.6,42997.09,41821.24,42939.74,6.33084,267401.6269302,350
1647907200000,2022-03-22,BTCUSDP,40915.4,43340.05,40913.4,42350.0,13.67293,580862.6142148,728
1647820800000,2022-03-21,BTCUSDP,41423.86,41527.13,40441.89,41104.12,5.71984,235031.6192482,377
1647734400000,2022-03-20,BTCUSDP,42208.37,42271.47,40982.97,41288.54,3.28914,136669.7539165,343
1647648000000,2022-03-19,BTCUSDP,41800.03,42355.84,41553.3,42156.18,21.03888,880251.8198644,852
1647561600000,2022-03-18,BTCUSDP,40841.05,42319.27,40147.94,41768.55,38.85323,1594603.3992396,1619
1647475200000,2022-03-17,BTCUSDP,41011.72,41403.6,40544.09,40936.13,7.53744,308511.0993471,1961
1647388800000,2022-03-16,BTCUSDP,39357.52,41665.5,38915.84,41044.98,19.11002,769676.1305188,1172
1647302400000,2022-03-15,BTCUSDP,39622.58,39889.54,38212.56,39274.44,8.49958,332966.7110838,541
1647216000000,2022-03-14,BTCUSDP,37765.45,39914.1,37616.7,39640.98,8.1411,317122.3960842,301
1647129600000,2022-03-13,BTCUSDP,38733.82,39215.42,37621.44,37862.99,6.58168,255213.5892569,217
1647043200000,2022-03-12,BTCUSDP,38700.14,39430.52,38700.14,38730.03,5.87193,229233.7987512,415
1646956800000,2022-03-11,BTCUSDP,39347.15,40170.23,38270.32,38700.25,9.34823,363974.4723373,438
1646870400000,2022-03-10,BTCUSDP,41957.82,42016.83,38700.14,39424.11,12.87826,508361.3809016,848
1646784000000,2022-03-09,BTCUSDP,38878.36,42532.9,38878.36,41999.72,11.47568,475029.8789215,933
1646697600000,2022-03-08,BTCUSDP,37960.56,39354.91,37885.67,38684.1,12.7295,492877.8060139,448
1646611200000,2022-03-07,BTCUSDP,38092.11,39529.09,37192.94,38090.07,7.04503,269441.296147,422
1646524800000,2022-03-06,BTCUSDP,39399.34,39623.61,38168.22,38393.89,9.51453,368388.0829386,560
1646438400000,2022-03-05,BTCUSDP,38985.59,39581.6,38637.57,39415.5,1.99643,77970.1362054,257
1646352000000,2022-03-04,BTCUSDP,42531.62,42531.62,38590.18,39114.19,17.89775,708513.7259384,647
1646265600000,2022-03-03,BTCUSDP,43895.96,44092.83,41858.16,42558.58,5.62666,243195.5258371,553
1646179200000,2022-03-02,BTCUSDP,44444.56,45210.08,43492.66,43880.56,10.54917,466554.744784,809
1646092800000,2022-03-01,BTCUSDP,43314.16,44952.61,42863.08,44464.05,12.23493,534825.0664554,1651
1646006400000,2022-02-28,BTCUSDP,37743.54,44035.85,37489.61,43201.86,16.95278,689954.2206239,761
1645920000000,2022-02-27,BTCUSDP,39073.46,39845.12,37192.94,37788.2,14.62759,558194.2966645,604
1645833600000,2022-02-26,BTCUSDP,39265.13,40251.52,38700.14,39149.66,5.7207,225398.9653503,1396
1645747200000,2022-02-25,BTCUSDP,38331.09,39706.32,38026.98,39173.98,7.15727,278553.238569,1181
1645660800000,2022-02-24,BTCUSDP,37320.88,39617.66,34352.35,38219.75,25.24527,913403.8819569,1441
1645574400000,2022-02-23,BTCUSDP,38238.95,39223.07,37110.87,37256.92,9.79622,373325.1743494,816
1645488000000,2022-02-22,BTCUSDP,37149.47,38398.37,36395.43,38370.04,18.4325,691336.5185664,663
1645401600000,2022-02-21,BTCUSDP,38455.02,39530.38,36898.62,36989.63,35.17704,1360544.2511274,889
1645315200000,2022-02-20,BTCUSDP,39905.94,40060.49,38000.0,38393.89,25.12101,973039.5792247,490
1645228800000,2022-02-19,BTCUSDP,39992.85,40427.38,39635.01,40000.37,3.17453,127134.4344633,208
1645142400000,2022-02-18,BTCUSDP,40469.66,40963.57,39453.01,40040.28,4.80359,192937.9307041,515
1645056000000,2022-02-17,BTCUSDP,43844.82,44156.66,40100.0,40502.86,7.29093,306297.2499972,517
1644969600000,2022-02-16,BTCUSDP,44478.09,44478.09,43346.91,43889.72,3.85394,169802.0637712,476
1644883200000,2022-02-15,BTCUSDP,42560.31,44739.51,42560.31,44476.18,7.49323,329400.1272234,1027
1644796800000,2022-02-14,BTCUSDP,42026.29,42840.04,41568.7,42795.05,4.10272,173171.8371475,286
1644710400000,2022-02-13,BTCUSDP,42197.26,42772.23,41899.43,42110.29,6.61414,280294.691443,282
1644624000000,2022-02-12,BTCUSDP,42337.3,43030.93,41689.98,42190.02,2.75606,116354.9672924,423
1644537600000,2022-02-11,BTCUSDP,43477.82,44107.33,41964.61,42479.21,15.34695,661498.8338937,741
1644451200000,2022-02-10,BTCUSDP,44304.29,45817.79,43250.0,43562.71,16.56477,734486.3753909,657
1644364800000,2022-02-09,BTCUSDP,44124.3,44782.36,43143.06,44309.74,6.96292,304958.3073905,492
1644278400000,2022-02-08,BTCUSDP,43598.25,45384.11,42765.36,44097.11,21.36004,932427.796899,833
1644192000000,2022-02-07,BTCUSDP,42337.76,44627.43,41719.89,43964.68,7.2533,314540.1372046,593
1644105600000,2022-02-06,BTCUSDP,41429.0,42615.34,41239.75,42466.97,3.80233,158941.0579041,574
1644019200000,2022-02-05,BTCUSDP,41395.72,41889.36,40950.24,41427.87,5.21202,216143.6466601,1218
1643932800000,2022-02-04,BTCUSDP,37219.29,41627.23,37105.79,41535.47,10.4634,416132.1124665,816
1643846400000,2022-02-03,BTCUSDP,37004.34,37267.6,36234.21,37239.13,6.46647,238180.1598433,300
1643760000000,2022-02-02,BTCUSDP,38837.38,38837.38,36606.62,36882.97,4.21662,159650.418127,285
1643673600000,2022-02-01,BTCUSDP,38480.79,39265.43,38131.03,38900.0,4.00728,154484.0332772,323
