https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USDC,tradecount
1621123200000,2021-05-16,BTCUSDC,46801.92,49796.87,43800.0,46429.2,3616.306985,168736617.18479067,82732
1621036800000,2021-05-15,BTCUSDC,49893.73,51800.0,46571.88,46785.78,2056.567463,99992947.98446512,62096
1620950400000,2021-05-14,BTCUSDC,49691.58,51579.44,48873.52,49887.22,2102.646668,105480465.50863828,68541
1620864000000,2021-05-13,BTCUSDC,49545.49,55199.0,46100.0,49661.84,5142.8416,254465993.6258508,123240
1620777600000,2021-05-12,BTCUSDC,56749.65,59000.0,48500.0,49547.74,3110.699329,169901641.20919588,87476
1620691200000,2021-05-11,BTCUSDC,55872.21,59500.0,54511.06,56752.71,2219.303338,123790796.15774356,71761
1620604800000,2021-05-10,BTCUSDC,58328.37,59611.94,53232.55,55859.56,3348.072229,191736544.7572165,86903
1620518400000,2021-05-09,BTCUSDC,58945.9,59300.0,56260.45,58280.4,2226.058078,129009369.099575,64295
1620432000000,2021-05-08,BTCUSDC,57367.68,59558.2,56971.49,58939.31,1866.381689,109314218.76844236,52995
1620345600000,2021-05-07,BTCUSDC,56429.29,58725.27,55300.0,57368.34,2209.712045,125646477.32627116,66117
1620259200000,2021-05-06,BTCUSDC,57504.22,59050.0,55268.09,56440.62,2198.309321,125145205.28920151,65252
1620172800000,2021-05-05,BTCUSDC,53241.86,57998.96,52915.12,57493.09,2752.994924,154098813.60253733,71660
1620086400000,2021-05-04,BTCUSDC,57208.09,57228.69,53000.0,53227.11,2965.383601,163301664.3333039,76459
1620000000000,2021-05-03,BTCUSDC,56602.83,59050.0,56490.38,57205.19,2193.812541,127098664.62716252,56017
1619913600000,2021-05-02,BTCUSDC,57844.9,57963.86,56073.43,56606.3,1172.066589,66536208.12187936,37093
1619827200000,2021-05-01,BTCUSDC,57764.75,58531.63,57047.64,57843.14,1402.799228,81100381.44790015,39853
1619740800000,2021-04-30,BTCUSDC,53591.28,58000.04,53077.54,57764.76,2042.901351,113235781.14032067,58802
1619654400000,2021-04-29,BTCUSDC,54877.5,55225.12,52360.1,53580.6,1800.211074,96779795.21048272,49115
1619568000000,2021-04-28,BTCUSDC,55064.8,56489.53,53864.59,54877.5,1993.682127,109247737.14295872,59284
1619481600000,2021-04-27,BTCUSDC,54040.75,55500.0,53307.49,55068.14,1891.361448,103370318.9440316,53794
1619395200000,2021-04-26,BTCUSDC,49123.07,54597.25,48835.81,54055.99,3280.133295,173549103.12017623,78606
1619308800000,2021-04-25,BTCUSDC,50099.71,50599.99,47013.71,49123.01,1979.090384,97689453.15128464,44481
1619222400000,2021-04-24,BTCUSDC,51161.12,51196.8,47718.92,50105.0,2375.977985,118675168.9352934,49159
1619136000000,2021-04-23,BTCUSDC,51712.24,52125.87,47464.46,51121.14,5274.853114,262031699.82299927,109076
1619049600000,2021-04-22,BTCUSDC,53811.62,55500.0,50469.0,51736.97,4407.936701,235666041.3143494,95823
1618963200000,2021-04-21,BTCUSDC,56482.87,56823.75,53450.12,53803.99,3248.982775,179923800.95944,76862
1618876800000,2021-04-20,BTCUSDC,55674.4,57200.0,53403.37,56474.41,2973.949424,165496560.93875977,79472
1618790400000,2021-04-19,BTCUSDC,56248.84,58000.0,54245.51,55664.34,2781.462732,156375551.95394915,86538
1618704000000,2021-04-18,BTCUSDC,60066.3,60420.87,51035.68,56265.18,4639.894977,258631685.387992,117769
1618617600000,2021-04-17,BTCUSDC,61415.6,62583.55,59659.33,60046.12,1701.281826,104358790.38855045,51788
1618531200000,2021-04-16,BTCUSDC,63224.58,63581.56,60015.3,61404.3,2532.397485,155921698.43549737,77765
1618444800000,2021-04-15,BTCUSDC,62963.8,63862.2,62032.95,63224.59,1571.280967,98865592.21371554,54255
1618358400000,2021-04-14,BTCUSDC,63583.85,64882.47,61109.0,62963.8,2610.123688,165254691.18325013,82454
1618272000000,2021-04-13,BTCUSDC,59819.35,63770.99,59772.36,63554.56,2152.863843,134206597.9730515,67819
1618185600000,2021-04-12,BTCUSDC,59961.48,61240.6,59350.0,59830.82,1538.874417,92563525.90063536,53441
1618099200000,2021-04-11,BTCUSDC,59763.24,60675.0,59171.56,59954.82,1071.167638,64048774.73682969,37275
1618012800000,2021-04-10,BTCUSDC,58115.4,61284.36,57868.23,59778.35,1591.487476,95384873.1805649,51556
1617926400000,2021-04-09,BTCUSDC,58065.8,58881.43,57653.65,58109.4,1369.782565,79776387.67726281,47664
1617840000000,2021-04-08,BTCUSDC,55944.12,58157.89,55677.77,58087.01,1512.539767,86544377.11935323,55710
1617753600000,2021-04-07,BTCUSDC,57987.29,58654.95,55445.46,55941.32,2205.62085,125284899.50552952,65937
1617667200000,2021-04-06,BTCUSDC,59142.8,59499.79,57386.73,57987.27,1502.702368,87718695.01241104,58829
1617580800000,2021-04-05,BTCUSDC,58209.31,59263.05,56781.24,59142.84,1558.396604,90897008.64294872,50627
1617494400000,2021-04-04,BTCUSDC,57065.56,58500.0,56456.41,58221.71,1198.042275,69111094.48958088,46180
1617408000000,2021-04-03,BTCUSDC,58964.97,59999.0,56897.78,57091.96,1474.741888,86562089.61869635,47286
1617321600000,2021-04-02,BTCUSDC,58705.79,60143.55,58448.76,58968.56,1415.25845,83966055.6655586,54954
