[2025-12-14 13:53:41,931][INFO] [Worker] Erreur versioning DVC : Cannot save file into a non-existent directory: 'data\features'
[2025-12-14 13:53:54,266][INFO] [UI] Features calculées.
[2025-12-14 13:53:54,266][INFO] [UI] Signal de trading : hold
[2025-12-14 13:53:54,266][INFO] [Worker] Erreur versioning DVC : Cannot save file into a non-existent directory: 'data\features'
[2025-12-14 13:54:06,585][INFO] [UI] Features calculées.
[2025-12-14 13:54:06,600][INFO] [UI] Signal de trading : hold
[2025-12-14 13:54:06,600][INFO] [Worker] Erreur versioning DVC : Cannot save file into a non-existent directory: 'data\features'
[2025-12-14 13:54:18,922][INFO] [UI] Features calculées.
[2025-12-14 13:54:18,922][INFO] [UI] Signal de trading : hold
[2025-12-14 13:54:18,922][INFO] [Worker] Erreur versioning DVC : Cannot save file into a non-existent directory: 'data\features'
[2025-12-14 13:54:31,270][INFO] [UI] Features calculées.
[2025-12-14 13:54:31,270][INFO] [UI] Signal de trading : hold
[2025-12-14 13:54:31,270][INFO] [Worker] Erreur versioning DVC : Cannot save file into a non-existent directory: 'data\features'
[2025-12-14 13:54:43,695][INFO] [UI] Features calculées.
[2025-12-14 13:54:43,695][INFO] [UI] Signal de trading : hold
[2025-12-14 13:54:43,695][INFO] [Worker] Erreur versioning DVC : Cannot save file into a non-existent directory: 'data\features'
[2025-12-14 13:54:56,038][INFO] [UI] Features calculées.
[2025-12-14 13:54:56,038][INFO] [UI] Signal de trading : hold
[2025-12-14 13:54:56,038][INFO] [Worker] Erreur versioning DVC : Cannot save file into a non-existent directory: 'data\features'
[2025-12-14 13:55:08,377][INFO] [UI] Features calculées.
[2025-12-14 13:55:08,377][INFO] [UI] Signal de trading : hold
[2025-12-14 13:55:08,377][INFO] [Worker] Erreur versioning DVC : Cannot save file into a non-existent directory: 'data\features'
[2025-12-14 13:55:20,696][INFO] [UI] Features calculées.
[2025-12-14 13:55:20,696][INFO] [UI] Signal de trading : hold
[2025-12-14 13:55:20,696][INFO] [Worker] Erreur versioning DVC : Cannot save file into a non-existent directory: 'data\features'
[2025-12-14 13:55:33,028][INFO] [UI] Features calculées.
[2025-12-14 13:55:33,028][INFO] [UI] Signal de trading : hold
[2025-12-14 13:55:33,028][INFO] [Worker] Erreur versioning DVC : Cannot save file into a non-existent directory: 'data\features'
[2025-12-14 13:55:45,354][INFO] [UI] Features calculées.
[2025-12-14 13:55:45,354][INFO] [UI] Signal de trading : hold
[2025-12-14 13:55:45,354][INFO] [Worker] Erreur versioning DVC : Cannot save file into a non-existent directory: 'data\features'
[2025-12-14 13:55:57,688][INFO] [UI] Features calculées.
[2025-12-14 13:55:57,688][INFO] [UI] Signal de trading : hold
[2025-12-14 13:55:57,688][INFO] [Worker] Erreur versioning DVC : Cannot save file into a non-existent directory: 'data\features'
[2025-12-14 13:56:10,012][INFO] [UI] Features calculées.
[2025-12-14 13:56:10,028][INFO] [UI] Signal de trading : hold
[2025-12-14 13:56:10,028][INFO] [Worker] Erreur versioning DVC : Cannot save file into a non-existent directory: 'data\features'
[2025-12-14 13:56:22,349][INFO] [UI] Features calculées.
[2025-12-14 13:56:22,365][INFO] [UI] Signal de trading : hold
