Nombre de trous : 11206
Timestamps des débuts de trous :
2019-01-12 07:30:00+00:00 (écart : 0 days 00:02:00)
2019-01-12 07:45:00+00:00 (écart : 0 days 00:03:00)
2019-01-12 07:48:00+00:00 (écart : 0 days 00:02:00)
2019-01-12 08:03:00+00:00 (écart : 0 days 00:03:00)
2019-01-12 08:16:00+00:00 (écart : 0 days 00:02:00)
2019-01-12 08:30:00+00:00 (écart : 0 days 00:02:00)
2019-01-12 08:37:00+00:00 (écart : 0 days 00:02:00)
2019-01-12 09:01:00+00:00 (écart : 0 days 00:02:00)
2019-01-12 09:11:00+00:00 (écart : 0 days 00:02:00)
2019-01-12 09:16:00+00:00 (écart : 0 days 00:02:00)
2019-01-12 09:27:00+00:00 (écart : 0 days 00:02:00)
2019-01-12 10:00:00+00:00 (écart : 0 days 00:02:00)
2019-01-12 10:08:00+00:00 (écart : 0 days 00:02:00)
2019-01-12 10:12:00+00:00 (écart : 0 days 00:03:00)
2019-01-12 10:15:00+00:00 (écart : 0 days 00:02:00)
2019-01-12 10:20:00+00:00 (écart : 0 days 00:02:00)
2019-01-12 10:24:00+00:00 (écart : 0 days 00:02:00)
2019-01-12 10:29:00+00:00 (écart : 0 days 00:03:00)
2019-01-12 10:57:00+00:00 (écart : 0 days 00:02:00)
2019-01-12 11:23:00+00:00 (écart : 0 days 00:02:00)
2019-01-12 11:26:00+00:00 (écart : 0 days 00:02:00)
2019-01-12 11:28:00+00:00 (écart : 0 days 00:02:00)
2019-01-12 11:30:00+00:00 (écart : 0 days 00:02:00)
2019-01-12 13:26:00+00:00 (écart : 0 days 00:02:00)
2019-01-12 14:40:00+00:00 (écart : 0 days 00:04:00)
2019-01-12 14:48:00+00:00 (écart : 0 days 00:02:00)
2019-01-12 15:50:00+00:00 (écart : 0 days 00:02:00)
2019-01-12 16:18:00+00:00 (écart : 0 days 00:02:00)
2019-01-12 18:58:00+00:00 (écart : 0 days 00:02:00)
2019-01-12 19:32:00+00:00 (écart : 0 days 00:02:00)
2019-01-12 19:42:00+00:00 (écart : 0 days 00:02:00)
2019-01-12 19:44:00+00:00 (écart : 0 days 00:02:00)
2019-01-12 20:26:00+00:00 (écart : 0 days 00:03:00)
2019-01-12 21:24:00+00:00 (écart : 0 days 00:02:00)
2019-01-12 21:35:00+00:00 (écart : 0 days 00:04:00)
2019-01-13 00:10:00+00:00 (écart : 0 days 00:02:00)
2019-01-13 00:47:00+00:00 (écart : 0 days 00:05:00)
2019-01-13 02:02:00+00:00 (écart : 0 days 00:02:00)
2019-01-13 04:04:00+00:00 (écart : 0 days 00:02:00)
2019-01-13 04:08:00+00:00 (écart : 0 days 00:02:00)
2019-01-13 05:23:00+00:00 (écart : 0 days 00:05:00)
2019-01-13 05:37:00+00:00 (écart : 0 days 00:02:00)
2019-01-13 06:01:00+00:00 (écart : 0 days 00:02:00)
2019-01-13 06:05:00+00:00 (écart : 0 days 00:02:00)
2019-01-13 06:19:00+00:00 (écart : 0 days 00:02:00)
2019-01-13 06:38:00+00:00 (écart : 0 days 00:02:00)
2019-01-13 06:52:00+00:00 (écart : 0 days 00:02:00)
2019-01-13 06:56:00+00:00 (écart : 0 days 00:04:00)
2019-01-13 07:00:00+00:00 (écart : 0 days 00:03:00)
2019-01-13 07:12:00+00:00 (écart : 0 days 00:02:00)
2019-01-13 07:17:00+00:00 (écart : 0 days 00:02:00)
2019-01-13 07:24:00+00:00 (écart : 0 days 00:02:00)
2019-01-13 08:00:00+00:00 (écart : 0 days 00:02:00)
2019-01-13 08:02:00+00:00 (écart : 0 days 00:02:00)
2019-01-13 08:09:00+00:00 (écart : 0 days 00:02:00)
2019-01-13 08:11:00+00:00 (écart : 0 days 00:02:00)
2019-01-13 08:31:00+00:00 (écart : 0 days 00:02:00)
2019-01-13 08:40:00+00:00 (écart : 0 days 00:02:00)
2019-01-13 09:05:00+00:00 (écart : 0 days 00:02:00)
2019-01-13 09:15:00+00:00 (écart : 0 days 00:02:00)
2019-01-13 09:26:00+00:00 (écart : 0 days 00:02:00)
2019-01-13 09:37:00+00:00 (écart : 0 days 00:03:00)
2019-01-13 09:58:00+00:00 (écart : 0 days 00:02:00)
2019-01-13 10:32:00+00:00 (écart : 0 days 00:02:00)
2019-01-13 10:50:00+00:00 (écart : 0 days 00:02:00)
2019-01-13 11:01:00+00:00 (écart : 0 days 00:03:00)
2019-01-13 11:07:00+00:00 (écart : 0 days 00:02:00)
2019-01-13 11:10:00+00:00 (écart : 0 days 00:02:00)
2019-01-13 11:15:00+00:00 (écart : 0 days 00:02:00)
2019-01-13 11:20:00+00:00 (écart : 0 days 00:03:00)
2019-01-13 11:51:00+00:00 (écart : 0 days 00:02:00)
2019-01-13 12:18:00+00:00 (écart : 0 days 00:02:00)
2019-01-13 13:09:00+00:00 (écart : 0 days 00:03:00)
2019-01-13 13:13:00+00:00 (écart : 0 days 00:03:00)
2019-01-13 13:50:00+00:00 (écart : 0 days 00:02:00)
2019-01-13 13:56:00+00:00 (écart : 0 days 00:02:00)
2019-01-13 14:12:00+00:00 (écart : 0 days 00:06:00)
2019-01-13 14:18:00+00:00 (écart : 0 days 00:02:00)
2019-01-13 14:49:00+00:00 (écart : 0 days 00:02:00)
2019-01-13 15:22:00+00:00 (écart : 0 days 00:06:00)
2019-01-13 15:38:00+00:00 (écart : 0 days 00:02:00)
2019-01-13 15:58:00+00:00 (écart : 0 days 00:02:00)
2019-01-13 18:35:00+00:00 (écart : 0 days 00:02:00)
2019-01-13 20:25:00+00:00 (écart : 0 days 00:03:00)
2019-01-13 21:17:00+00:00 (écart : 0 days 00:08:00)
2019-01-13 23:11:00+00:00 (écart : 0 days 00:02:00)
2019-01-14 00:19:00+00:00 (écart : 0 days 00:02:00)
2019-01-14 00:40:00+00:00 (écart : 0 days 00:02:00)
2019-01-14 01:12:00+00:00 (écart : 0 days 00:02:00)
2019-01-14 01:21:00+00:00 (écart : 0 days 00:03:00)
2019-01-14 01:28:00+00:00 (écart : 0 days 00:02:00)
2019-01-14 01:34:00+00:00 (écart : 0 days 00:02:00)
2019-01-14 02:36:00+00:00 (écart : 0 days 00:02:00)
2019-01-14 02:54:00+00:00 (écart : 0 days 00:02:00)
2019-01-14 03:34:00+00:00 (écart : 0 days 00:05:00)
2019-01-14 03:38:00+00:00 (écart : 0 days 00:04:00)
2019-01-14 03:40:00+00:00 (écart : 0 days 00:02:00)
2019-01-14 03:54:00+00:00 (écart : 0 days 00:06:00)
2019-01-14 03:59:00+00:00 (écart : 0 days 00:02:00)
2019-01-14 04:13:00+00:00 (écart : 0 days 00:07:00)
2019-01-14 04:18:00+00:00 (écart : 0 days 00:02:00)
2019-01-14 04:20:00+00:00 (écart : 0 days 00:02:00)
2019-01-14 04:24:00+00:00 (écart : 0 days 00:03:00)
2019-01-14 04:33:00+00:00 (écart : 0 days 00:02:00)
2019-01-14 04:37:00+00:00 (écart : 0 days 00:03:00)
2019-01-14 06:31:00+00:00 (écart : 0 days 00:03:00)
2019-01-14 06:57:00+00:00 (écart : 0 days 00:02:00)
2019-01-14 07:19:00+00:00 (écart : 0 days 00:03:00)
2019-01-14 07:37:00+00:00 (écart : 0 days 00:02:00)
2019-01-14 07:44:00+00:00 (écart : 0 days 00:02:00)
2019-01-14 08:40:00+00:00 (écart : 0 days 00:02:00)
2019-01-14 08:47:00+00:00 (écart : 0 days 00:02:00)
2019-01-14 08:52:00+00:00 (écart : 0 days 00:02:00)
2019-01-14 09:06:00+00:00 (écart : 0 days 00:02:00)
2019-01-14 09:14:00+00:00 (écart : 0 days 00:02:00)
2019-01-14 11:09:00+00:00 (écart : 0 days 00:02:00)
2019-01-14 11:17:00+00:00 (écart : 0 days 00:02:00)
2019-01-14 11:45:00+00:00 (écart : 0 days 00:02:00)
2019-01-14 14:20:00+00:00 (écart : 0 days 00:03:00)
2019-01-14 14:27:00+00:00 (écart : 0 days 00:02:00)
2019-01-14 15:15:00+00:00 (écart : 0 days 00:02:00)
2019-01-14 15:17:00+00:00 (écart : 0 days 00:02:00)
2019-01-14 16:29:00+00:00 (écart : 0 days 00:02:00)
2019-01-14 16:47:00+00:00 (écart : 0 days 00:02:00)
2019-01-14 17:42:00+00:00 (écart : 0 days 00:03:00)
2019-01-14 17:44:00+00:00 (écart : 0 days 00:02:00)
2019-01-14 19:52:00+00:00 (écart : 0 days 00:12:00)
2019-01-14 21:44:00+00:00 (écart : 0 days 00:02:00)
2019-01-14 21:48:00+00:00 (écart : 0 days 00:02:00)
2019-01-14 22:16:00+00:00 (écart : 0 days 00:02:00)
2019-01-14 22:39:00+00:00 (écart : 0 days 00:02:00)
2019-01-14 22:49:00+00:00 (écart : 0 days 00:02:00)
2019-01-14 23:46:00+00:00 (écart : 0 days 00:02:00)
2019-01-15 00:42:00+00:00 (écart : 0 days 00:02:00)
2019-01-15 00:56:00+00:00 (écart : 0 days 00:02:00)
2019-01-15 01:26:00+00:00 (écart : 0 days 00:02:00)
2019-01-15 01:55:00+00:00 (écart : 0 days 00:02:00)
2019-01-15 02:09:00+00:00 (écart : 0 days 00:06:00)
2019-01-15 02:28:00+00:00 (écart : 0 days 00:03:00)
2019-01-15 02:36:00+00:00 (écart : 0 days 00:04:00)
2019-01-15 02:42:00+00:00 (écart : 0 days 00:02:00)
2019-01-15 02:45:00+00:00 (écart : 0 days 00:03:00)
2019-01-15 02:48:00+00:00 (écart : 0 days 00:02:00)
2019-01-15 02:51:00+00:00 (écart : 0 days 00:02:00)
2019-01-15 02:54:00+00:00 (écart : 0 days 00:02:00)
2019-01-15 03:02:00+00:00 (écart : 0 days 00:02:00)
2019-01-15 03:04:00+00:00 (écart : 0 days 00:02:00)
2019-01-15 03:39:00+00:00 (écart : 0 days 00:02:00)
2019-01-15 04:05:00+00:00 (écart : 0 days 00:02:00)
2019-01-15 04:44:00+00:00 (écart : 0 days 00:02:00)
2019-01-15 04:48:00+00:00 (écart : 0 days 00:02:00)
2019-01-15 05:19:00+00:00 (écart : 0 days 00:02:00)
2019-01-15 05:38:00+00:00 (écart : 0 days 00:02:00)
2019-01-15 05:42:00+00:00 (écart : 0 days 00:03:00)
2019-01-15 05:45:00+00:00 (écart : 0 days 00:02:00)
2019-01-15 06:51:00+00:00 (écart : 0 days 00:06:00)
2019-01-15 06:53:00+00:00 (écart : 0 days 00:02:00)
2019-01-15 06:55:00+00:00 (écart : 0 days 00:02:00)
2019-01-15 07:23:00+00:00 (écart : 0 days 00:03:00)
2019-01-15 07:31:00+00:00 (écart : 0 days 00:02:00)
2019-01-15 07:50:00+00:00 (écart : 0 days 00:02:00)
2019-01-15 07:58:00+00:00 (écart : 0 days 00:02:00)
2019-01-15 08:04:00+00:00 (écart : 0 days 00:03:00)
2019-01-15 08:08:00+00:00 (écart : 0 days 00:02:00)
2019-01-15 08:25:00+00:00 (écart : 0 days 00:03:00)
2019-01-15 08:44:00+00:00 (écart : 0 days 00:02:00)
2019-01-15 09:57:00+00:00 (écart : 0 days 00:02:00)
2019-01-15 10:43:00+00:00 (écart : 0 days 00:03:00)
2019-01-15 11:03:00+00:00 (écart : 0 days 00:02:00)
2019-01-15 11:11:00+00:00 (écart : 0 days 00:03:00)
2019-01-15 11:18:00+00:00 (écart : 0 days 00:02:00)
2019-01-15 11:23:00+00:00 (écart : 0 days 00:02:00)
2019-01-15 12:04:00+00:00 (écart : 0 days 00:02:00)
2019-01-15 12:59:00+00:00 (écart : 0 days 00:02:00)
2019-01-15 13:31:00+00:00 (écart : 0 days 00:02:00)
2019-01-15 13:33:00+00:00 (écart : 0 days 00:02:00)
2019-01-15 13:59:00+00:00 (écart : 0 days 00:02:00)
2019-01-15 14:15:00+00:00 (écart : 0 days 00:05:00)
2019-01-15 14:59:00+00:00 (écart : 0 days 00:02:00)
2019-01-15 15:03:00+00:00 (écart : 0 days 00:02:00)
2019-01-15 16:49:00+00:00 (écart : 0 days 00:03:00)
2019-01-15 16:53:00+00:00 (écart : 0 days 00:02:00)
2019-01-15 17:11:00+00:00 (écart : 0 days 00:02:00)
2019-01-15 18:29:00+00:00 (écart : 0 days 00:02:00)
2019-01-15 18:39:00+00:00 (écart : 0 days 00:02:00)
2019-01-15 19:06:00+00:00 (écart : 0 days 00:03:00)
2019-01-15 19:28:00+00:00 (écart : 0 days 00:02:00)
2019-01-15 22:13:00+00:00 (écart : 0 days 00:02:00)
2019-01-15 22:32:00+00:00 (écart : 0 days 00:02:00)
2019-01-15 22:51:00+00:00 (écart : 0 days 00:02:00)
2019-01-16 00:05:00+00:00 (écart : 0 days 00:02:00)
2019-01-16 00:09:00+00:00 (écart : 0 days 00:02:00)
2019-01-16 02:02:00+00:00 (écart : 0 days 00:02:00)
2019-01-16 02:04:00+00:00 (écart : 0 days 00:02:00)
2019-01-16 02:06:00+00:00 (écart : 0 days 00:02:00)
2019-01-16 02:21:00+00:00 (écart : 0 days 00:02:00)
2019-01-16 02:42:00+00:00 (écart : 0 days 00:02:00)
2019-01-16 04:02:00+00:00 (écart : 0 days 00:03:00)
2019-01-16 05:00:00+00:00 (écart : 0 days 00:03:00)
2019-01-16 05:27:00+00:00 (écart : 0 days 00:02:00)
2019-01-16 05:32:00+00:00 (écart : 0 days 00:02:00)
2019-01-16 06:39:00+00:00 (écart : 0 days 00:02:00)
2019-01-16 07:09:00+00:00 (écart : 0 days 00:03:00)
2019-01-16 07:15:00+00:00 (écart : 0 days 00:02:00)
2019-01-16 09:55:00+00:00 (écart : 0 days 00:02:00)
2019-01-16 10:05:00+00:00 (écart : 0 days 00:02:00)
2019-01-16 10:13:00+00:00 (écart : 0 days 00:02:00)
2019-01-16 11:11:00+00:00 (écart : 0 days 00:02:00)
2019-01-16 11:20:00+00:00 (écart : 0 days 00:02:00)
2019-01-16 11:25:00+00:00 (écart : 0 days 00:03:00)
2019-01-16 11:28:00+00:00 (écart : 0 days 00:02:00)
